year,category_key,top_item,percentage
2017,cat13,SSE2,100.00%
2017,cat2,4 cpus,72.84%
2017,cat4,2047 MB,39.17%
2017,cat5,1920 x 1080,76.41%
2017,cat6,3840 x 1080,32.97%
2017,cat7,Yes,99.80%
2017,cat8,Simplified Chinese,64.35%
2017,cat9,100 GB to 249 GB,26.25%
2017,osversion,Windows 7 64 bit,69.89%
2018,cat0,8 GB,38.66%
2018,cat1,3.3 Ghz to 3.69 Ghz,22.22%
2018,cat10,Above 1 TB,48.24%
2018,cat11,Unspecified,99.94%
2018,cat12,Oculus Rift,0.36%
2018,cat13,SSE2,100.00%
2018,cat2,4 cpus,57.61%
2018,cat4,2047 MB,21.15%
2018,cat5,1920 x 1080,60.74%
2018,cat6,3840 x 1080,72.48%
2018,cat7,Yes,99.94%
2018,cat8,English,37.69%
2018,cat9,250 GB to 499 GB,24.28%
2018,osversion,Windows 10 64 bit,63.50%
2019,cat0,16 GB,37.96%
2019,cat1,3.3 Ghz to 3.69 Ghz,21.45%
2019,cat10,Above 1 TB,52.53%
2019,cat11,Unspecified,99.99%
2019,cat12,Oculus Rift,0.36%
2019,cat13,SSE3,100.00%
2019,cat2,4 cpus,51.92%
2019,cat4,4095 MB,17.56%
2019,cat5,1920 x 1080,64.63%
2019,cat6,3840 x 1080,74.48%
2019,cat7,Yes,99.98%
2019,cat8,English,36.83%
2019,cat9,250 GB to 499 GB,24.10%
2019,osversion,Windows 10 64 bit,74.23%
2020,cat0,16 GB,43.24%
2020,cat1,3.3 Ghz to 3.69 Ghz,18.40%
2020,cat10,Above 1 TB,51.56%
2020,cat11,Unspecified,100.00%
2020,cat12,Oculus Rift S,25.09%
2020,cat13,SSE3,100.00%
2020,cat2,4 cpus,44.11%
2020,cat4,6143 MB,23.33%
2020,cat5,1920 x 1080,66.24%
2020,cat6,3840 x 1080,71.26%
2020,cat7,Yes,100.00%
2020,cat8,English,39.13%
2020,cat9,250 GB to 499 GB,24.57%
2020,osversion,Windows 10 64 bit,88.59%
2021,cat0,16 GB,46.23%
2021,cat1,2.3 Ghz to 2.69 Ghz,17.99%
2021,cat10,Oculus Quest 2,36.32%
2021,cat11,SSE3,100.00%
2021,cat2,4 cpus,36.12%
2021,cat4,8191 MB,23.43%
2021,cat5,1920 x 1080,67.11%
2021,cat6,3840 x 1080,70.06%
2021,cat7,English,38.03%
2021,cat8,100 GB to 249 GB,24.95%
2021,cat9,Above 1 TB,50.41%
2021,osversion,Windows 10 64 bit,83.38%
