source_filing,filing_form,period_end,segment_code,segment_name,revenue_usd_millions
FY2024-10K,10-K,2023-08-31,SBU,Storage Business Unit (enterprise/cloud/client/consumer SSDs) — scheme used FY2015-2022,2553.0
FY2025-10K,10-K,2023-08-31,Unallocated,Unallocated (not attributed to a segment),0.0
FY2025-10K,10-K,2024-08-29,AEBU,"Automotive Embedded Business Unit (automotive/industrial/consumer) — new scheme, FY2023+",4631.0
FY2025-10K,10-K,2024-08-29,All Other,All Other (immaterial/unallocated product revenue),37.0
FY2025-10K,10-K,2024-08-29,CDBU,"Core Data Center Business Unit (mid-tier cloud/enterprise/OEM data-center memory+storage) — new scheme, FY2023+",4984.0
FY2025-10K,10-K,2024-08-29,CMBU,"Cloud Memory Business Unit (hyperscale cloud + HBM, all data-center customers) — new scheme, FY2023+",3792.0
FY2024-10K,10-K,2024-08-29,CNBU,Compute and Networking Business Unit (client/cloud-server/enterprise/graphics/networking) — scheme used FY2015-2022,9513.0
FY2024-10K,10-K,2024-08-29,EBU,Embedded Business Unit (automotive/industrial/consumer) — scheme used FY2015-2022,4614.0
FY2024-10K,10-K,2024-08-29,MBU,Mobile Business Unit (smartphone/mobile) — scheme used FY2015-2022,6354.0
FY2025-10K,10-K,2024-08-29,MCBU,"Mobile Client Business Unit (mobile + PC client memory/storage) — new scheme, FY2023+",11667.0
FY2024-10K,10-K,2024-08-29,SBU,Storage Business Unit (enterprise/cloud/client/consumer SSDs) — scheme used FY2015-2022,4592.0
FY2025-10K,10-K,2024-08-29,Unallocated,Unallocated (not attributed to a segment),0.0
FY2025-10K,10-K,2025-08-28,AEBU,"Automotive Embedded Business Unit (automotive/industrial/consumer) — new scheme, FY2023+",4753.0
FY2025-10K,10-K,2025-08-28,All Other,All Other (immaterial/unallocated product revenue),13.0
FY2025-10K,10-K,2025-08-28,CDBU,"Core Data Center Business Unit (mid-tier cloud/enterprise/OEM data-center memory+storage) — new scheme, FY2023+",7229.0
FY2025-10K,10-K,2025-08-28,CMBU,"Cloud Memory Business Unit (hyperscale cloud + HBM, all data-center customers) — new scheme, FY2023+",13524.0
FY2025-10K,10-K,2025-08-28,MCBU,"Mobile Client Business Unit (mobile + PC client memory/storage) — new scheme, FY2023+",11859.0
FY2025-10K,10-K,2025-08-28,Unallocated,Unallocated (not attributed to a segment),0.0
